Artikel	Lager	Bolag	Namn	Värde
1000448	404	GG	measured	Y
1000448	404	GG	SalesPrice	509.00
1000448	404	GG	SPG	Dirbutik
1000448	404	GG	ST	false
1000448	404	GG	StoreQuantity	1.0
1000448	404	GG	SupplierItemId	770300010
1000490	404	GG	CategoryDesc	T2
1000490	404	GG	DG	false
1000490	404	GG	IMG	https://v.imgi.no/56a1f735-2494-41b6-82f9-4dad5c500205.jpg
1000490	404	GG	IntroDate	2000-05-30
1000490	404	GG	KIT	N
1000490	404	GG	LC	Active
1000490	404	GG	LF	2026-02-16
1000490	404	GG	LT	2026-09-28
1000490	404	GG	measured	Y
1000490	404	GG	SalesPrice	99.90
1000490	404	GG	SPG	DC
1000490	404	GG	ST	false
1000490	404	GG	StoreQuantity	64.0
1000490	404	GG	SupplierItemId	1010834
1000868	404	GG	CategoryDesc	G1
1000868	404	GG	Controlled	Y
1000868	404	GG	DG	false
1000868	404	GG	IMG	https://v.imgi.no/9c178d69-b691-492f-95bf-359c34384f50.jpg
1000868	404	GG	IntroDate	2000-05-30
1000868	404	GG	KIT	N
1000868	404	GG	LC	Active
1000868	404	GG	measured	Y
1000868	404	GG	SalesPrice	109.00
1000868	404	GG	SDB	https://ggrssa.blob.core.windows.net/gg-rdp-media-assets/08363975-f2b8-4981-9cea-7df3d5bfe07e.pdf?sv=2023-11-03&se=2024-08-21T16%3A31%3A00Z&sr=c&sp=rl&sig=oL1i74lfr0u9l8vrc72FrpfrGjOForfeVPL0wDE7Eas%3D
1000868	404	GG	SPG	DC
1000868	404	GG	ST	false
1000868	404	GG	StoreQuantity	40.0
1000868	404	GG	SupplierItemId	1012
1000875	404	GG	CategoryDesc	G1
1000875	404	GG	Controlled	Y
1000875	404	GG	DG	false
1000875	404	GG	IMG	https://v.imgi.no/e551bee3-118d-4d33-9ca0-66cb0c094a56.jpg
1000875	404	GG	IntroDate	2000-05-30
1000875	404	GG	KIT	N
1000875	404	GG	LC	Active
1000875	404	GG	measured	Y
1000875	404	GG	SalesPrice	209.00
1000875	404	GG	SDB	https://ggrssa.blob.core.windows.net/gg-rdp-media-assets/009a4a2d-cbbd-45cc-a87a-7b349d1abc7b.pdf?sv=2023-11-03&se=2024-05-31T09%3A33%3A56Z&sr=c&sp=rl&sig=BfWnYh6QDXM6daIs%2F4NdCcQjuWOzPijP2rLznP9Xgr0%3D
1000875	404	GG	SPG	DC
1000875	404	GG	ST	false
1000875	404	GG	StoreQuantity	40.0
1000875	404	GG	SupplierItemId	191000
1000876	404	GG	CategoryDesc	G1
1000876	404	GG	DG	false
1000876	404	GG	IMG	https://v.imgi.no/58fa06d6-13e4-45d1-9622-ffe1ee4551a9.jpg
1000876	404	GG	IntroDate	2000-05-30
1000876	404	GG	KIT	N
1000876	404	GG	LC	Expiring
1000876	404	GG	measured	Y
1000876	404	GG	SalesPrice	259.00
1000876	404	GG	SPG	DC
1000876	404	GG	ST	false
1000876	404	GG	StoreQuantity	40.0
1000876	404	GG	SupplierItemId	4438
1000953	404	GG	CategoryDesc	T2
1000953	404	GG	DG	false
1000953	404	GG	IMG	https://v.imgi.no/ba4559e5-1a6b-4bbe-a014-036e02a65065.jpg
1000953	404	GG	IntroDate	1999-11-11
1000953	404	GG	KIT	N
1000953	404	GG	LC	Expiring
1000953	404	GG	LF	2026-02-16
1000953	404	GG	LT	2026-09-28
1000953	404	GG	measured	Y
1000953	404	GG	SalesPrice	129.00
1000953	404	GG	SPG	Dirbutik
1000953	404	GG	ST	false
1000953	404	GG	StoreQuantity	39.0
1000953	404	GG	SupplierItemId	10071
1000956	404	GG	CategoryDesc	T2
1000956	404	GG	DG	false
1000956	404	GG	IMG	https://v.imgi.no/36b8db4f-f707-424e-a0c1-df82b5887c93.jpg
1000956	404	GG	IntroDate	1999-11-11
1000956	404	GG	KIT	N
1000956	404	GG	LC	Active
1000956	404	GG	LF	2026-02-16
1000956	404	GG	LT	2026-09-28
1000956	404	GG	measured	Y
1000956	404	GG	SalesPrice	129.00
1000956	404	GG	SPG	Dirbutik
1000956	404	GG	ST	false
1000956	404	GG	StoreQuantity	45.0
1000956	404	GG	SupplierItemId	10021
1000957	404	GG	CategoryDesc	T2
1000957	404	GG	DG	false
1000957	404	GG	IMG	https://v.imgi.no/0eb9d17c-4671-4e03-8182-4c96fd58ef96.jpg
1000957	404	GG	IntroDate	1999-11-11
1000957	404	GG	KIT	N
1000957	404	GG	LC	Active
1000957	404	GG	LF	2026-02-16
1000957	404	GG	LT	2026-09-28
1000957	404	GG	measured	Y
1000957	404	GG	SalesPrice	129.00
1000957	404	GG	SPG	Dirbutik
1000957	404	GG	ST	false
1000957	404	GG	StoreQuantity	42.0
1000957	404	GG	SupplierItemId	10023
1000968	404	GG	CategoryDesc	G1
1000968	404	GG	DG	false
1000968	404	GG	IMG	https://v.imgi.no/a3dc2dd2-e989-4bd1-ab96-d2b9ac6d92cb.jpg
1000968	404	GG	KIT	N
1000968	404	GG	LC	Expiring
1000968	404	GG	measured	Y
1000968	404	GG	SalesPrice	99.90
1000968	404	GG	SPG	Dirbutik
1000968	404	GG	ST	false
1000968	404	GG	SupplierItemId	HT-1241181
1000970	404	GG	CategoryDesc	G1
1000970	404	GG	DG	false
1000970	404	GG	IMG	https://v.imgi.no/a3dc2dd2-e989-4bd1-ab96-d2b9ac6d92cb.jpg
1000970	404	GG	IntroDate	1999-11-12
1000970	404	GG	KIT	N
1000970	404	GG	LC	Expiring
1000970	404	GG	measured	Y
1000970	404	GG	SalesPrice	189.00
1000970	404	GG	SPG	Dirbutik
1000970	404	GG	ST	false
1000970	404	GG	StoreQuantity	5.0
1000970	404	GG	SupplierItemId	HT-1241207
1000973	404	GG	CategoryDesc	G1
1000973	404	GG	DG	false
1000973	404	GG	IMG	https://v.imgi.no/74fe49b1-f2ea-41ce-98ec-90979d99cb1e.jpg
1000973	404	GG	IntroDate	1999-11-12
1000973	404	GG	KIT	N
1000973	404	GG	LC	Expiring
1000973	404	GG	measured	Y
1000973	404	GG	SalesPrice	24.90
1000973	404	GG	SPG	Dirbutik
1000973	404	GG	ST	false
1000973	404	GG	StoreQuantity	5.0
1000973	404	GG	SupplierItemId	HT-1241785
1000974	404	GG	CategoryDesc	G1
1000974	404	GG	DG	false
1000974	404	GG	IMG	https://v.imgi.no/0af229ec-e4a1-4310-87e9-fa9ad8259f1f.jpg
1000974	404	GG	IntroDate	1999-11-12
1000974	404	GG	KIT	N
1000974	404	GG	LC	Expiring
1000974	404	GG	measured	Y
1000974	404	GG	SalesPrice	24.90
1000974	404	GG	SPG	Dirbutik
1000974	404	GG	ST	false
1000974	404	GG	StoreQuantity	1.0
1000974	404	GG	SupplierItemId	HT-1241792
1000975	404	GG	CategoryDesc	G1
1000975	404	GG	DG	false
1000975	404	GG	IMG	https://v.imgi.no/e22f97ba-aea9-4ddd-816f-22b79fca0bef.jpg
1000975	404	GG	IntroDate	1999-11-12
1000975	404	GG	KIT	N
1000975	404	GG	LC	Expiring
1000975	404	GG	measured	Y
1000975	404	GG	SalesPrice	29.90
1000975	404	GG	SPG	Dirbutik
1000975	404	GG	ST	false
1000975	404	GG	StoreQuantity	1.0
1000975	404	GG	SupplierItemId	HT-1241801
1000977	404	GG	CategoryDesc	G1
1000977	404	GG	DG	false
1000977	404	GG	IMG	https://v.imgi.no/ffffcf2e-bab4-49ae-a92b-67d2fb60ac40.jpg
1000977	404	GG	IntroDate	1999-11-12
1000977	404	GG	KIT	N
1000977	404	GG	LC	Expiring
1000977	404	GG	measured	Y
1000977	404	GG	SalesPrice	19.90
1000977	404	GG	SPG	Dirbutik
1000977	404	GG	ST	false
1000977	404	GG	StoreQuantity	5.0
1000977	404	GG	SupplierItemId	HT-1246180
1000978	404	GG	CategoryDesc	G1
1000978	404	GG	DG	false
1000978	404	GG	IMG	https://v.imgi.no/aaa7cebb-9333-4f46-9173-d08e2a24891f.jpg
1000978	404	GG	IntroDate	1999-11-12
1000978	404	GG	KIT	N
1000978	404	GG	LC	Expiring
1000978	404	GG	measured	Y
1000978	404	GG	SalesPrice	24.90
1000978	404	GG	SPG	Dirbutik
1000978	404	GG	ST	false
1000978	404	GG	StoreQuantity	5.0
1000978	404	GG	SupplierItemId	HT-1246198
1000979	404	GG	CategoryDesc	G1
1000979	404	GG	DG	false
1000979	404	GG	IMG	https://v.imgi.no/8812a189-c7da-4c67-a704-5f39debce99b.jpg
1000979	404	GG	IntroDate	1999-11-12
1000979	404	GG	KIT	N
1000979	404	GG	LC	Expiring
1000979	404	GG	measured	Y
1000979	404	GG	SalesPrice	34.90
1000979	404	GG	SPG	Dirbutik
1000979	404	GG	ST	false
1000979	404	GG	StoreQuantity	1.0
1000979	404	GG	SupplierItemId	HT-1246206
1000981	404	GG	CategoryDesc	G1
1000981	404	GG	DG	false
1000981	404	GG	IMG	https://v.imgi.no/05ad6708-16f3-4f14-839e-95bcb6e66e32.jpg
1000981	404	GG	IntroDate	1999-11-12
1000981	404	GG	KIT	N
1000981	404	GG	LC	Expiring
1000981	404	GG	measured	Y
1000981	404	GG	SalesPrice	49.90
1000981	404	GG	SPG	Dirbutik
1000981	404	GG	ST	false
1000981	404	GG	StoreQuantity	5.0
1000981	404	GG	SupplierItemId	DL-1265487
1000987	404	GG	CategoryDesc	G1
1000987	404	GG	DG	false
1000987	404	GG	IMG	https://v.imgi.no/b0101854-5fb8-461f-bd01-6ee795164420.jpg
1000987	404	GG	IntroDate	1999-11-12
1000987	404	GG	KIT	N
1000987	404	GG	LC	Expiring
1000987	404	GG	measured	Y
1000987	404	GG	SalesPrice	49.90
1000987	404	GG	SPG	Dirbutik
1000987	404	GG	ST	false
1000987	404	GG	StoreQuantity	1.0
1000987	404	GG	SupplierItemId	DL-1265180
1000989	404	GG	CategoryDesc	G1
1000989	404	GG	DG	false
1000989	404	GG	IMG	https://v.imgi.no/1fb280c3-3d88-438e-9b9e-f596d21aabfe.jpg
1000989	404	GG	IntroDate	1999-11-12
1000989	404	GG	KIT	N
1000989	404	GG	LC	Expiring
1000989	404	GG	measured	Y
1000989	404	GG	SalesPrice	89.90
1000989	404	GG	SPG	Dirbutik
1000989	404	GG	ST	false
1000989	404	GG	StoreQuantity	1.0
1000989	404	GG	SupplierItemId	DL-1265206
1000991	404	GG	CategoryDesc	G1
1000991	404	GG	DG	false
1000991	404	GG	IMG	https://v.imgi.no/d6b0ad91-1aef-48a4-8c2e-ae75b8b02f1a.jpg
1000991	404	GG	IntroDate	1999-11-12
1000991	404	GG	KIT	N
1000991	404	GG	LC	Expiring
1000991	404	GG	measured	Y
1000991	404	GG	SalesPrice	29.90
1000991	404	GG	SPG	Dirbutik
1000991	404	GG	ST	false
1000991	404	GG	StoreQuantity	5.0
1000991	404	GG	SupplierItemId	DL-1270180
1000992	404	GG	CategoryDesc	G1
1000992	404	GG	DG	false
1000992	404	GG	IMG	https://v.imgi.no/5840dcee-aa7d-430c-815b-8e0fc98d90f1.jpg
1000992	404	GG	IntroDate	1999-11-12
1000992	404	GG	KIT	N
1000992	404	GG	LC	Expiring
1000992	404	GG	measured	Y
1000992	404	GG	SalesPrice	39.90
1000992	404	GG	SPG	Dirbutik
1000992	404	GG	ST	false
1000992	404	GG	StoreQuantity	5.0
1000992	404	GG	SupplierItemId	DL-1270198
1000993	404	GG	CategoryDesc	G1
1000993	404	GG	DG	false
1000993	404	GG	IMG	https://v.imgi.no/5840dcee-aa7d-430c-815b-8e0fc98d90f1.jpg
1000993	404	GG	IntroDate	1999-11-12
1000993	404	GG	KIT	N
1000993	404	GG	LC	Expiring
1000993	404	GG	measured	Y
1000993	404	GG	SalesPrice	49.90
1000993	404	GG	SPG	Dirbutik
1000993	404	GG	ST	false
1000993	404	GG	StoreQuantity	5.0
1000993	404	GG	SupplierItemId	DL-1270206
1000996	404	GG	CategoryDesc	G1
1000996	404	GG	DG	false
1000996	404	GG	IMG	https://v.imgi.no/fe97e574-b621-4666-82b2-bd858a631c38.jpg
1000996	404	GG	IntroDate	1999-11-12
1000996	404	GG	KIT	N
1000996	404	GG	LC	Expiring
1000996	404	GG	measured	Y
1000996	404	GG	SalesPrice	29.90
1000996	404	GG	SPG	Dirbutik
1000996	404	GG	ST	false
1000996	404	GG	StoreQuantity	5.0
1000996	404	GG	SupplierItemId	DL-1271485
1000997	404	GG	CategoryDesc	G1
1000997	404	GG	DG	false
1000997	404	GG	IMG	https://v.imgi.no/fe97e574-b621-4666-82b2-bd858a631c38.jpg
1000997	404	GG	IntroDate	1999-11-12
1000997	404	GG	KIT	N
1000997	404	GG	LC	Expiring
1000997	404	GG	measured	Y
1000997	404	GG	SalesPrice	39.90
1000997	404	GG	SPG	Dirbutik
1000997	404	GG	ST	false
1000997	404	GG	StoreQuantity	5.0
1000997	404	GG	SupplierItemId	DL-1271493
1000998	404	GG	CategoryDesc	G1
1000998	404	GG	DG	false
1000998	404	GG	IMG	https://v.imgi.no/fe97e574-b621-4666-82b2-bd858a631c38.jpg
1000998	404	GG	IntroDate	1999-11-12
1000998	404	GG	KIT	N
1000998	404	GG	LC	Expiring
1000998	404	GG	measured	Y
1000998	404	GG	SalesPrice	59.90
1000998	404	GG	SPG	Dirbutik
1000998	404	GG	ST	false
1000998	404	GG	StoreQuantity	5.0
1000998	404	GG	SupplierItemId	DL-1271501
1001001	404	GG	CategoryDesc	G1
1001001	404	GG	DG	false
1001001	404	GG	IMG	https://v.imgi.no/454d01f3-3cf6-454d-8397-f804f033e490.jpg
1001001	404	GG	IntroDate	1999-11-12
1001001	404	GG	KIT	N
1001001	404	GG	LC	Expiring
1001001	404	GG	measured	Y
1001001	404	GG	SalesPrice	29.90
1001001	404	GG	SPG	Dirbutik
1001001	404	GG	ST	false
1001001	404	GG	StoreQuantity	5.0
1001001	404	GG	SupplierItemId	HT-1244185
1001002	404	GG	CategoryDesc	G1
1001002	404	GG	DG	false
1001002	404	GG	IMG	https://v.imgi.no/454d01f3-3cf6-454d-8397-f804f033e490.jpg
1001002	404	GG	IntroDate	1999-11-12
1001002	404	GG	KIT	N
1001002	404	GG	LC	Expiring
1001002	404	GG	measured	Y
1001002	404	GG	SalesPrice	39.90
1001002	404	GG	SPG	Dirbutik
1001002	404	GG	ST	false
1001002	404	GG	StoreQuantity	5.0
1001002	404	GG	SupplierItemId	HT-1244193
1001003	404	GG	CategoryDesc	G1
1001003	404	GG	DG	false
1001003	404	GG	IMG	https://v.imgi.no/454d01f3-3cf6-454d-8397-f804f033e490.jpg
1001003	404	GG	IntroDate	1999-11-12
1001003	404	GG	KIT	N
1001003	404	GG	LC	Expiring
1001003	404	GG	measured	Y
1001003	404	GG	SalesPrice	49.90
1001003	404	GG	SPG	Dirbutik
1001003	404	GG	ST	false
1001003	404	GG	StoreQuantity	5.0
1001003	404	GG	SupplierItemId	HT-1244201
1001005	404	GG	CategoryDesc	G1
1001005	404	GG	DG	false
1001005	404	GG	IMG	https://v.imgi.no/454d01f3-3cf6-454d-8397-f804f033e490.jpg
1001005	404	GG	IntroDate	1999-11-12
1001005	404	GG	KIT	N
1001005	404	GG	LC	Expiring
1001005	404	GG	measured	Y
1001005	404	GG	SalesPrice	39.90
1001005	404	GG	SPG	Dirbutik
1001005	404	GG	ST	false
1001005	404	GG	StoreQuantity	5.0
1001005	404	GG	SupplierItemId	DL-1277821
1001010	404	GG	CategoryDesc	G1
1001010	404	GG	DG	false
1001010	404	GG	IMG	https://v.imgi.no/97916826-0aae-440f-a382-96f1400379c3.jpg
1001010	404	GG	IntroDate	1999-11-12
1001010	404	GG	KIT	N
1001010	404	GG	LC	Expiring
1001010	404	GG	measured	Y
1001010	404	GG	SalesPrice	39.90
1001010	404	GG	SPG	Dirbutik
1001010	404	GG	ST	false
1001010	404	GG	StoreQuantity	5.0
1001010	404	GG	SupplierItemId	DL-1314095
1001011	404	GG	CategoryDesc	G1
1001011	404	GG	DG	false
1001011	404	GG	IMG	https://v.imgi.no/97916826-0aae-440f-a382-96f1400379c3.jpg
1001011	404	GG	IntroDate	1999-11-12
1001011	404	GG	KIT	N
1001011	404	GG	LC	Expiring
1001011	404	GG	measured	Y
1001011	404	GG	SalesPrice	49.90
1001011	404	GG	SPG	Dirbutik
1001011	404	GG	ST	false
1001011	404	GG	StoreQuantity	1.0
1001011	404	GG	SupplierItemId	DL-1314137
1001012	404	GG	CategoryDesc	G1
1001012	404	GG	DG	false
1001012	404	GG	IMG	https://v.imgi.no/97916826-0aae-440f-a382-96f1400379c3.jpg
1001012	404	GG	IntroDate	1999-11-12
1001012	404	GG	KIT	N
1001012	404	GG	LC	Expiring
1001012	404	GG	measured	Y
1001012	404	GG	SalesPrice	49.90
1001012	404	GG	SPG	Dirbutik
1001012	404	GG	ST	false
1001012	404	GG	StoreQuantity	1.0
1001012	404	GG	SupplierItemId	DL-1314145
1001015	404	GG	CategoryDesc	G1
1001015	404	GG	DG	false
1001015	404	GG	IMG	https://v.imgi.no/4e850ca1-4d01-48ed-a9d4-e5a7ee862093.jpg
1001015	404	GG	IntroDate	1999-11-12
1001015	404	GG	KIT	N
1001015	404	GG	LC	Expiring
1001015	404	GG	measured	Y
1001015	404	GG	SalesPrice	29.90
1001015	404	GG	SPG	Dirbutik
1001015	404	GG	ST	false
1001015	404	GG	StoreQuantity	5.0
1001015	404	GG	SupplierItemId	DL-1316488
1001016	404	GG	CategoryDesc	G1
1001016	404	GG	DG	false
1001016	404	GG	IMG	https://v.imgi.no/4e850ca1-4d01-48ed-a9d4-e5a7ee862093.jpg
1001016	404	GG	IntroDate	1999-11-12
1001016	404	GG	KIT	N
1001016	404	GG	LC	Expiring
1001016	404	GG	measured	Y
1001016	404	GG	SalesPrice	29.90
1001016	404	GG	SPG	Dirbutik
1001016	404	GG	ST	false
1001016	404	GG	StoreQuantity	5.0
1001016	404	GG	SupplierItemId	DL-1316496
1001017	404	GG	CategoryDesc	G1
1001017	404	GG	DG	false
1001017	404	GG	IMG	https://v.imgi.no/4e850ca1-4d01-48ed-a9d4-e5a7ee862093.jpg
1001017	404	GG	IntroDate	1999-11-12
1001017	404	GG	KIT	N
1001017	404	GG	LC	Expiring
1001017	404	GG	measured	Y
1001017	404	GG	SalesPrice	34.90
1001017	404	GG	SPG	Dirbutik
1001017	404	GG	ST	false
1001017	404	GG	StoreQuantity	5.0
1001017	404	GG	SupplierItemId	DL-1316504
1001020	404	GG	CategoryDesc	G1
1001020	404	GG	DG	false
1001020	404	GG	IMG	https://v.imgi.no/1404e62f-4498-479c-b4ba-17ddeb7c6242.jpg
1001020	404	GG	IntroDate	1999-11-12
1001020	404	GG	KIT	N
1001020	404	GG	LC	Expiring
1001020	404	GG	measured	Y
1001020	404	GG	SalesPrice	49.90
1001020	404	GG	SPG	Dirbutik
1001020	404	GG	ST	false
1001020	404	GG	StoreQuantity	5.0
1001020	404	GG	SupplierItemId	DL-1317593
1001021	404	GG	CategoryDesc	G1
1001021	404	GG	DG	false
1001021	404	GG	IMG	https://v.imgi.no/1404e62f-4498-479c-b4ba-17ddeb7c6242.jpg
1001021	404	GG	IntroDate	1999-11-12
1001021	404	GG	KIT	N
1001021	404	GG	LC	Expiring
1001021	404	GG	measured	Y
1001021	404	GG	SalesPrice	59.90
1001021	404	GG	SPG	Dirbutik
1001021	404	GG	ST	false
1001021	404	GG	StoreQuantity	5.0
1001021	404	GG	SupplierItemId	DL-1317635
1001022	404	GG	CategoryDesc	G1
1001022	404	GG	DG	false
1001022	404	GG	IMG	https://v.imgi.no/1404e62f-4498-479c-b4ba-17ddeb7c6242.jpg
1001022	404	GG	IntroDate	1999-11-12
1001022	404	GG	KIT	N
1001022	404	GG	LC	Expiring
1001022	404	GG	measured	Y
1001022	404	GG	SalesPrice	49.90
1001022	404	GG	SPG	Dirbutik
1001022	404	GG	ST	false
1001022	404	GG	StoreQuantity	1.0
1001022	404	GG	SupplierItemId	DL-1317643
1001026	404	GG	CategoryDesc	G1
1001026	404	GG	DG	false
1001026	404	GG	IMG	https://v.imgi.no/f6fc84e2-b733-45ba-a6b7-15cf60b8c428.jpg
1001026	404	GG	IntroDate	1999-11-12
1001026	404	GG	KIT	N
1001026	404	GG	LC	Expiring
1001026	404	GG	measured	Y
1001026	404	GG	SalesPrice	29.90
1001026	404	GG	SPG	Dirbutik
1001026	404	GG	ST	false
1001026	404	GG	StoreQuantity	5.0
1001026	404	GG	SupplierItemId	DL-1319193
1001027	404	GG	CategoryDesc	G1
1001027	404	GG	DG	false
1001027	404	GG	IMG	https://v.imgi.no/f6fc84e2-b733-45ba-a6b7-15cf60b8c428.jpg
1001027	404	GG	IntroDate	1999-11-12
1001027	404	GG	KIT	N
1001027	404	GG	LC	Expiring
1001027	404	GG	measured	Y
1001027	404	GG	SalesPrice	29.90
1001027	404	GG	SPG	Dirbutik
1001027	404	GG	ST	false
1001027	404	GG	StoreQuantity	5.0
1001027	404	GG	SupplierItemId	DL-1319235
1001028	404	GG	CategoryDesc	G1
1001028	404	GG	DG	false
1001028	404	GG	IMG	https://v.imgi.no/f6fc84e2-b733-45ba-a6b7-15cf60b8c428.jpg
1001028	404	GG	IntroDate	1999-11-12
1001028	404	GG	KIT	N
1001028	404	GG	LC	Expiring
1001028	404	GG	measured	Y
1001028	404	GG	SalesPrice	29.90
1001028	404	GG	SPG	Dirbutik
1001028	404	GG	ST	false
1001028	404	GG	StoreQuantity	5.0
1001028	404	GG	SupplierItemId	DL-1319243
1001031	404	GG	CategoryDesc	G1
1001031	404	GG	DG	false
1001031	404	GG	IMG	https://v.imgi.no/2da519ca-4e13-4128-8b91-489a012b5f11.jpg
1001031	404	GG	IntroDate	1999-11-12
1001031	404	GG	KIT	N
1001031	404	GG	LC	Expiring
1001031	404	GG	measured	Y
1001031	404	GG	SalesPrice	29.90
1001031	404	GG	SPG	Dirbutik
1001031	404	GG	ST	false
1001031	404	GG	StoreQuantity	1.0
1001031	404	GG	SupplierItemId	DL-1320183
1001032	404	GG	CategoryDesc	G1
1001032	404	GG	DG	false
1001032	404	GG	IMG	https://v.imgi.no/2da519ca-4e13-4128-8b91-489a012b5f11.jpg
1001032	404	GG	IntroDate	1999-11-12
1001032	404	GG	KIT	N
1001032	404	GG	LC	Expiring
1001032	404	GG	measured	Y
1001032	404	GG	SalesPrice	29.90
1001032	404	GG	SPG	Dirbutik
1001032	404	GG	ST	false
1001032	404	GG	StoreQuantity	1.0
1001032	404	GG	SupplierItemId	DL-1320191
1001033	404	GG	CategoryDesc	G1
1001033	404	GG	DG	false
1001033	404	GG	IMG	https://v.imgi.no/2da519ca-4e13-4128-8b91-489a012b5f11.jpg
1001033	404	GG	IntroDate	1999-11-12
1001033	404	GG	KIT	N
1001033	404	GG	LC	Expiring
1001033	404	GG	measured	Y
1001033	404	GG	SalesPrice	29.90
1001033	404	GG	SPG	Dirbutik
1001033	404	GG	ST	false
1001033	404	GG	StoreQuantity	1.0
1001033	404	GG	SupplierItemId	DL-1320209
1001036	404	GG	CategoryDesc	G1
1001036	404	GG	DG	false
1001036	404	GG	IMG	https://v.imgi.no/7b073af6-fb93-4b5c-8fcb-9376af42040c.jpg
1001036	404	GG	IntroDate	1999-11-12
1001036	404	GG	KIT	N
1001036	404	GG	LC	Expiring
1001036	404	GG	measured	Y
1001036	404	GG	SalesPrice	29.90
1001036	404	GG	SPG	Dirbutik
1001036	404	GG	ST	false
1001036	404	GG	StoreQuantity	5.0
1001036	404	GG	SupplierItemId	DL-1329119
1001037	404	GG	CategoryDesc	G1
1001037	404	GG	DG	false
